menor tamanho: 19

1. 0, 4, 6, 3, 5, 7, 2, 5, 0, 3, 1, 4, 7, 1, 4, 2, 0, 6, 1, 5
2. 0, 2, 5, 7, 4, 1, 5, 0, 3, 6, 1, 7, 2, 4, 6, 0, 4, 1, 3, 5
3. 0, 2, 4, 1, 5, 2, 7, 1, 6, 3, 1, 5, 0, 4, 7, 5, 3, 0, 6, 4
4. 0, 4, 6, 0, 3, 6, 1, 4, 7, 1, 4, 2, 5, 3, 1, 5, 7, 2, 0, 5
5. 0, 5, 2, 0, 3, 5, 7, 4, 2, 7, 1, 4, 6, 0, 4, 1, 3, 6, 1, 5
6. 0, 2, 5, 0, 3, 1, 6, 0, 4, 1, 5, 7, 2, 4, 7, 1, 4, 6, 3, 5
7. 0, 6, 4, 2, 5, 3, 0, 2, 7, 1, 5, 0, 4, 1, 6, 3, 1, 4, 7, 5
8. 0, 6, 4, 1, 3, 6, 1, 5, 2, 0, 5, 3, 0, 4, 2, 7, 1, 4, 7, 5
9. 0, 2, 4, 1, 7, 5, 3, 1, 4, 6, 0, 3, 6, 1, 5, 0, 4, 7, 2, 5
10. 0, 5, 2, 0, 4, 7, 5, 3, 6, 4, 1, 7, 2, 4, 1, 6, 0, 3, 1, 5
11. 0, 4, 2, 7, 1, 4, 6, 1, 5, 2, 0, 3, 5, 7, 4, 1, 3, 6, 0, 5
12. 0, 2, 4, 6, 0, 3, 1, 7, 5, 0, 4, 1, 5, 3, 6, 1, 5, 2, 7, 4
13. 0, 3, 1, 6, 4, 2, 5, 7, 2, 0, 5, 3, 6, 0, 4, 1, 7, 4, 1, 5
14. 0, 6, 1, 3, 5, 7, 4, 1, 5, 2, 0, 4, 2, 7, 1, 4, 6, 3, 0, 5
15. 0, 6, 4, 2, 0, 4, 1, 3, 6, 1, 5, 7, 1, 4, 7, 2, 5, 0, 3, 5
16. 0, 5, 2, 7, 4, 2, 0, 4, 1, 6, 0, 3, 6, 4, 1, 7, 5, 3, 1, 5
17. 0, 5, 3, 0, 4, 6, 1, 4, 7, 1, 4, 2, 5, 7, 2, 0, 6, 3, 1, 5
18. 0, 5, 2, 7, 1, 5, 3, 0, 4, 1, 6, 3, 1, 5, 7, 4, 6, 0, 2, 4
19. 0, 4, 6, 0, 3, 1, 5, 7, 2, 0, 5, 3, 6, 1, 4, 7, 1, 4, 2, 5
20. 0, 4, 1, 3, 0, 6, 1, 5, 3, 6, 4, 7, 1, 4, 2, 7, 5, 0, 2, 5
21. 0, 4, 6, 3, 0, 5, 3, 1, 4, 2, 0, 6, 1, 4, 7, 1, 5, 2, 7, 5
22. 0, 4, 7, 5, 0, 6, 1, 5, 2, 7, 1, 5, 3, 6, 4, 2, 0, 3, 1, 4
23. 0, 3, 1, 4, 6, 0, 5, 7, 2, 0, 4, 2, 5, 3, 6, 1, 4, 7, 1, 5
24. 0, 2, 4, 7, 5, 0, 6, 3, 1, 5, 2, 7, 1, 5, 3, 0, 4, 6, 1, 4
25. 0, 5, 7, 2, 0, 4, 7, 1, 5, 2, 4, 1, 3, 6, 1, 5, 3, 0, 6, 4
26. 0, 4, 1, 6, 0, 2, 7, 5, 0, 3, 5, 2, 4, 1, 7, 4, 6, 3, 1, 5
27. 0, 2, 7, 1, 4, 6, 1, 5, 3, 0, 4, 1, 3, 6, 0, 5, 7, 4, 2, 5
28. 0, 4, 1, 3, 5, 2, 7, 4, 1, 6, 4, 2, 0, 3, 6, 0, 5, 7, 1, 5
29. 0, 4, 1, 3, 6, 4, 1, 5, 2, 0, 6, 1, 7, 2, 4, 7, 5, 3, 0, 5
30. 0, 4, 2, 5, 3, 6, 4, 1, 5, 7, 4, 1, 3, 0, 2, 7, 1, 6, 0, 5
31. 0, 2, 4, 1, 5, 3, 0, 4, 1, 3, 6, 1, 7, 4, 6, 0, 5, 2, 7, 5
32. 0, 3, 5, 7, 2, 0, 5, 2, 4, 6, 0, 4, 1, 3, 6, 1, 4, 7, 1, 5
