menor tamanho: 17

10. 0, 6, 3, 5, 0, 4, 6, 1, 7, 4, 1, 3, 0, 2, 7, 5, 2, 4
11. 0, 6, 3, 5, 2, 0, 4, 6, 1, 3, 0, 5, 7, 4, 2, 7, 1, 4
12. 0, 4, 6, 1, 4, 2, 0, 5, 2, 7, 5, 3, 6, 0, 3, 1, 7, 4
13. 0, 3, 5, 0, 4, 7, 5, 2, 0, 6, 1, 4, 2, 7, 1, 3, 6, 4
14. 0, 6, 1, 7, 4, 1, 3, 5, 2, 4, 6, 3, 0, 2, 7, 5, 0, 4
15. 0, 3, 5, 2, 0, 6, 4, 1, 6, 3, 1, 7, 4, 2, 7, 5, 0, 4
16. 0, 3, 1, 4, 2, 7, 4, 6, 3, 5, 7, 1, 6, 0, 2, 5, 0, 4
17. 0, 3, 5, 2, 4, 7, 1, 6, 4, 1, 3, 6, 0, 2, 7, 5, 0, 4
18. 0, 5, 3, 0, 4, 6, 0, 2, 5, 7, 4, 2, 7, 1, 6, 3, 1, 4
19. 0, 3, 5, 2, 0, 4, 2, 7, 5, 0, 6, 1, 3, 6, 4, 7, 1, 4
20. 0, 6, 3, 0, 5, 7, 1, 6, 4, 7, 2, 4, 1, 3, 5, 2, 0, 4
21. 0, 3, 1, 6, 0, 4, 1, 7, 2, 5, 3, 6, 4, 2, 0, 5, 7, 4
22. 0, 6, 3, 0, 2, 7, 4, 6, 1, 3, 5, 0, 4, 2, 5, 7, 1, 4
23. 0, 2, 7, 5, 2, 4, 7, 1, 6, 3, 5, 0, 4, 6, 0, 3, 1, 4
24. 0, 5, 2, 0, 4, 1, 7, 2, 4, 7, 5, 3, 1, 6, 0, 3, 6, 4
25. 0, 6, 4, 2, 5, 7, 1, 6, 3, 5, 0, 3, 1, 4, 7, 2, 0, 4
26. 0, 2, 4, 7, 2, 5, 3, 0, 4, 1, 6, 3, 1, 7, 5, 0, 6, 4
27. 0, 4, 2, 5, 7, 4, 1, 7, 2, 0, 3, 1, 6, 3, 5, 0, 6, 4
28. 0, 2, 7, 1, 6, 4, 7, 5, 2, 4, 1, 3, 0, 5, 3, 6, 0, 4
29. 0, 5, 3, 6, 0, 4, 1, 6, 4, 7, 2, 5, 7, 1, 3, 0, 2, 4
30. 0, 4, 1, 7, 2, 0, 6, 4, 2, 5, 3, 1, 6, 3, 0, 5, 7, 4
31. 0, 5, 3, 6, 4, 7, 2, 5, 7, 1, 3, 0, 6, 1, 4, 2, 0, 4
32. 0, 3, 1, 6, 4, 2, 0, 6, 3, 5, 7, 4, 1, 7, 2, 5, 0, 4
33. 0, 3, 6, 1, 3, 5, 0, 6, 4, 1, 7, 4, 2, 7, 5, 2, 0, 4
34. 0, 3, 5, 0, 4, 2, 7, 5, 2, 0, 6, 3, 1, 4, 7, 1, 6, 4
35. 0, 6, 3, 1, 7, 2, 5, 0, 4, 2, 0, 3, 5, 7, 4, 1, 6, 4
36. 0, 3, 6, 0, 4, 7, 1, 4, 2, 0, 5, 2, 7, 5, 3, 1, 6, 4
37. 0, 3, 6, 4, 1, 3, 5, 0, 6, 1, 7, 2, 5, 7, 4, 2, 0, 4
38. 0, 6, 4, 1, 6, 3, 1, 7, 2, 0, 4, 2, 5, 3, 0, 5, 7, 4
